,Price,Year,Mileage,City,State,Vin,Make,Model,General Model,New Car Price
1339,25490,2014,22041,Plano, TX,JTHCF1D23E5008163,Lexus,IS,IS,38410
1340,50988,2015,15768,Grapevine, TX,JTHBL5EF5F5135625,Lexus,LS,LS,75300
1341,9100,2002,92332,Branford, CT,JTHBN30F420056928,Lexus,LS,LS,75300
1342,39488,2014,49400,Mt. Juliet, TN,JTHCL5EF0E5021051,Lexus,LS,LS,75300
1343,18999,2008,85880,Puyallup, WA,JTHBL46FX85060335,Lexus,LS,LS,75300
1344,19991,2009,77561,Miami, FL,JTHBL46F695085878,Lexus,LS,LS,75300
1345,39997,2014,34830,Capitol Heights, MD,JTHCL5EF9E5021288,Lexus,LS,LS,75300
1346,37977,2013,61668,Raleigh, NC,JTHGL5EF9D5047972,Lexus,LS,LS,75300
1347,40899,2013,52669,Durham, NC,JTHBL5EF0D5123928,Lexus,LS,LS,75300
1348,19900,2009,91132,Plano, TX,JTHBL46F695090000,Lexus,LS,LS,75300
1349,25302,2011,60315,Abington, MA,JTHCL5EF4B5011201,Lexus,LS,LS,75300
1350,14990,2009,140541,Lake Hopatcong, NJ,JTHCL46FX95000531,Lexus,LS,LS,75300
1351,45990,2014,25152,New York, NY,JTHCL5EF4E5021215,Lexus,LS,LS,75300
1352,37980,2013,41762,Philadelphia, PA,JTHCL5EF2D5019249,Lexus,LS,LS,75300
1353,15480,2007,139594,Raleigh, NC,JTHGL46F175003929,Lexus,LS,LS,75300
1354,18995,2005,81094,Blenheim, SC,JTHBN36F950180009,Lexus,LS,LS,75300
1355,11985,2007,150000,San Angelo, TX,JTHBL46F375046212,Lexus,LS,LS,75300
1356,8185,2002,115886,SAN FRANCISCO, CA,JTHBN30F120085531,Lexus,LS,LS,75300
1357,44993,2014,34040,Fremont, CA,JTHBL5EF5E5130522,Lexus,LS,LS,75300
1358,5995,2003,149858,Hasbrouck Heights, NJ,JTHBN30F830102987,Lexus,LS,LS,75300
1359,15995,2010,122650,Los Angeles, CA,JTHBL5EF3A5097921,Lexus,LS,LS,75300
1360,36500,2016,1761,Louisville, KY,JTHSM5BC1G5001445,Lexus,RC,RC,41145
1361,36900,2015,21926,Salem, OR,JTHHE5BC5F5006198,Lexus,RC,RC,41145
1362,37987,2016,8850,Miami, FL,JTHHA5BC5G5003850,Lexus,RC,RC,41145
1363,32990,2015,35000,Farmers Branch, TX,JTHHE5BCXF5000462,Lexus,RC,RC,41145
1364,39498,2015,17216,Sharon, MA,JTHSE5BC6F5001629,Lexus,RC,RC,41145
1365,40499,2017,6464,Santa Ana, CA,JTHHA5BC1H5005595,Lexus,RCRC,RC,41145
