Model,Month,Month LY,Change,YTD,YTD LY,YTD Change
Genesis G80,305,"1,542",-80.22,"7,446","16,214",-54.08
Ford C-Max,16,"1,416",-98.87,"6,683","18,390",-63.66
Lexus GS,587,916,-35.92,"6,604","7,773",-15.04
BMW i3,356,672,-47.02,"6,120","6,276",-2.49
Fiat 500,418,667,-37.33,"5,370","12,685",-57.67
Porsche 718,237,301,-21.26,"5,276","5,087",3.72
Jaguar XE,443,707,-37.34,"4,704","9,278",-49.3
Buick Cascada,251,408,-38.48,"4,628","5,595",-17.28
Kia Cadenza,198,896,-77.9,"4,507","7,249",-37.83
Infiniti Q70,329,406,-18.97,"4,479","5,772",-22.4
Toyota 86 / FR-S,295,425,-30.59,"4,133","6,846",-39.63
Audi A7,"1,095",453,141.72,"3,852","4,810",-19.92
Subaru BRZ,349,297,17.51,"3,834","4,131",-7.19
BMW 6-Series,330,369,-10.57,"3,762","3,355",12.13
Fiat 124 Spider,184,287,-35.89,"3,515","4,478",-21.51
Nissan 370Z,202,304,-33.55,"3,468","4,614",-24.84
Lexus RC,341,686,-50.29,"3,358","7,363",-54.39
Jaguar F-Type,197,391,-49.62,"2,268","4,108",-44.79
Jaguar XF,153,345,-55.65,"2,208","4,541",-51.38
Genesis G90,80,406,-80.3,"2,136","4,398",-51.43
Mercedes-Benz SL-Class,158,277,-42.96,"2,126","2,940",-27.69
Mercedes-Benz SLC-Class,152,260,-41.54,"1,993","2,860",-30.31
Lexus LC,152,290,-47.59,"1,979","1,731",14.33
Acura RLX,216,186,16.13,"1,931","1,237",56.1
Toyota Mirai,232,296,-21.62,"1,689","1,838",-8.11
Audi A8,380,266,42.86,"1,599","3,127",-48.86
Jaguar XJ,124,263,-52.85,"1,579","2,721",-41.97
Mercedes-Benz AMG GT,136,183,-25.68,"1,525","1,609",-5.22
Fiat 500L,39,111,-64.86,"1,413","1,664",-15.08
Audi TT,16,237,-93.25,"1,289","2,294",-43.81
Smart ForTwo,122,166,-26.51,"1,276","3,071",-58.45
Chrysler 200,6,332,-98.19,"1,043","18,457",-94.35
Audi R8,79,56,41.07,927,772,20.08
BMW i8,97,80,21.25,772,488,58.2
Hyundai Azera,2,141,-98.58,629,"3,060",-79.44
Nissan GT-R,25,36,-30.56,538,578,-6.92
Volkswagen CC,11,54,-79.63,455,"1,355",-66.42
Dodge Dart,2,139,-98.56,389,"10,082",-96.14
Genesis G70,229,0,0,358,0,0
Kia K900,55,35,57.14,354,455,-22.2
Alfa Romeo 4C,10,26,-61.54,238,406,-41.38
BMW 8-Series,223,0,0,223,0,0
Acura NSX,17,56,-69.64,170,581,-70.74
Mercedes-Benz B-Class,1,111,-99.1,135,744,-81.85
Ford GT,1,9,-88.89,126,89,41.57
Honda CR-Z,1,0,0,30,0,0
Dodge Viper,3,9,-66.67,19,585,-96.75
