,City,Make,Mileage,Model,Price,State,Vin,Year
5246,Lafayette,GMC,16091.0,TerrainAWD,26500.0, IN,2GKFLUE3XH6149681,2017.0
5247,Tallahassee,GMC,92719.0,Yukon,37179.0, FL,1GKS1HKC9FR223285,2015.0
5248,Lancaster,GMC,43451.0,AcadiaAWD,16295.0, PA,1GKEV23D99J113913,2009.0
5249,Paris,GMC,66634.0,Yukon2WD,25814.0, TX,1GKS1AE09ER164651,2014.0
5250,Defiance,GMC,33883.0,Sierra,36894.0, OH,3GTU2VEC5FG428971,2015.0
5251,Escondido,GMC,34035.0,TerrainAWD,23405.0, CA,2GKFLUEK0H6102232,2017.0
5252,Midland,GMC,20441.0,AcadiaFWD,30225.0, TX,1GKKNLLA5HZ216678,2017.0
5253,Torrington,GMC,91570.0,Sierra,12995.0, CT,1GTEK14C88Z205390,2008.0
5254,Paoli,GMC,65214.0,YukonAWD,35995.0, PA,1GKS2EEF0ER128467,2014.0
5255,Salt Lake City,GMC,128005.0,Yukon4WD,17550.0, UT,1GKS2CE07BR257902,2011.0
5256,Columbia,GMC,29175.0,Sierra,26490.0, KY,1GTR1UEC0EZ126277,2014.0
5257,Chandler,GMC,27732.0,Yukon4WD,58911.0, AZ,1GKS2CKJ4GR194357,2016.0
5258,Clarksville,GMC,163492.0,Sierra,17966.0, TN,3GTRKVE33AG193498,2010.0
5259,Corpus Christi,GMC,30289.0,TerrainFWD,18412.0, TX,2GKALMEK5F6370197,2015.0
5260,Bohemia,GMC,48111.0,TerrainFWD,15968.0, NY,2GKALREK5E6353444,2014.0
5261,Hayden,GMC,213562.0,Yukon,5999.0, ID,3GKFK16T73G310260,2003.0
5262,CREVE COEUR,GMC,41547.0,Yukon,57998.0, MO,1GKS2JKJ3FR148411,2015.0
5263,St. George,GMC,69931.0,Canyon4WD,9999.0, UT,1GTDT146458268328,2005.0
5264,Summerville,GMC,15178.0,Yukon4WD,60266.0, SC,1GKS2CKJ5GR299375,2016.0
5265,Augusta,GMC,82311.0,Sierra,22990.0, GA,1GTR2VE74DZ324977,2013.0
5266,Layton,GMC,127793.0,Sierra,32618.0, UT,1GT424C86BF154815,2011.0
5267,Collinsville,GMC,59638.0,Sierra,42995.0, IL,1GT125E80DF102556,2013.0
5268,Taylor,GMC,46859.0,TerrainFWD,18995.0, MI,2GKFLSE31E6256473,2014.0
5269,Kansas City,GMC,64878.0,TerrainFWD,20500.0, KS,2GKALYEKXD6317273,2013.0
5270,Moon Township,GMC,57486.0,Sierra,24488.0, PA,1GTR2VE79DZ251329,2013.0
5271,Rome,GMC,62215.0,Sierra,31500.0, GA,3GTU2VEC4EG435022,2014.0
5272,Roswell,GMC,7603.0,Sierra,42495.0, GA,3GTU2NEC1HG124619,2017.0
5273,Tallahassee,GMC,57702.0,Sierra,26500.0, FL,3GTP1VE07BG282718,2011.0
5274,Monroe,GMC,30828.0,AcadiaFWD,23395.0, MI,1GKKRPKDXFJ221541,2015.0
5275,Aurora,GMC,32766.0,Sierra,37990.0, MO,3GTU2VEC0FG320113,2015.0
5276,El Cajon,GMC,85673.0,TerrainFWD,20999.0, CA,2GKFLYE32D6122685,2013.0
5277,Colorado Springs,GMC,21008.0,AcadiaAWD,25299.0, CO,1GKKVRKD4FJ302607,2015.0
5278,Orlando,GMC,15439.0,Sierra,17999.0, FL,1GTN1LEC3GZ905099,2016.0
5279,Monticello,GMC,37433.0,Sierra,31944.0, MN,3GTP2WE76DG285838,2013.0
5280,Fairfield,GMC,149732.0,TerrainAWD,11994.0, OH,2GKFLWE38E6284861,2014.0
5281,St. Louis,GMC,76042.0,AcadiaAWD,14463.0, MO,1GKLVMED8AJ134742,2010.0
5282,Roseville,GMC,14976.0,Sierra,20843.0, CA,1GTN1LEC0GZ902015,2016.0
5283,Olympia,GMC,46474.0,Sierra,34991.0, WA,3GTU2UEC8FG197185,2015.0
5284,Indiana,GMC,10979.0,Sierra,31886.0, PA,1GTV2UEC2EZ259957,2014.0
5285,Brandon,GMC,22231.0,AcadiaAWD,29879.0, MS,1GKKNRLA8HZ101365,2017.0
5286,Franklin,GMC,17741.0,AcadiaAWD,41980.0, TN,1GKKNXLS6HZ166230,2017.0
5287,Spokane,GMC,24139.0,Acadia,34999.0, WA,1GKKVSKD4HJ247635,2017.0
5288,Sioux Falls,GMC,20830.0,Yukon4WD,49870.0, SD,1GKS2BKC5HR175958,2017.0
5289,Lakewood,GMC,48642.0,AcadiaAWD,27994.0, CO,1GKKVTKD6DJ176583,2013.0
5290,Houston,GMC,30791.0,Yukon2WD,45979.0, TX,1GKS1BKC8FR102910,2015.0
5291,Phoenix,GMC,13330.0,Sierra,49995.0, AZ,3GTU2WECXFG479906,2015.0
