Price,Year,Mileage,City,State,Vin,Make,Model
13101,2014,75317,Rogers, AR,1FMCU0GX9EUE20663,Ford,EscapeSE
14943,2013,75289,Pikeville, KY,1FMCU9GX9DUC69343,Ford,EscapeSE
14887,2013,75185,Woodbridge, VA,1FTNE2EW8DDA37988,Ford,Econoline
7900,2013,75178,Kerrville, TX,1FADP3K25DL132825,Ford,FocusHatchback
21991,2013,75169,Jasper, AL,1FM5K7F89DGB42183,Ford,ExplorerLimited
39895,2013,74873,La Grande, OR,1FT8W3B62DEA75618,Ford,Super
23999,2015,74731,Raleigh, NC,1FM5K8F85FGA04682,Ford,ExplorerLimited
8580,2014,74648,Port Orchard, WA,3FADP4EJ5EM111188,Ford,FiestaHatchback
21488,2013,74552,Georgetown, TX,2FMDK3AK6DBA36272,Ford,EdgeSport
27995,2013,73941,West Bend, WI,1FTFW1ET2DKD87470,Ford,F-150SuperCrew
6995,2003,73760,Grove City, OH,3FTNF21S63MB29975,Ford,Super
15395,2014,73695,Worthington, OH,1FM5K7B82EGA63042,Ford,ExplorerBase
13888,2011,73660,Glendale, AZ,1FTKR1AD8BPA33750,Ford,Ranger2WD
12925,2007,73340,Indianapolis, IN,1ZVHT82HX75221496,Ford,Mustang2dr
29488,2014,73290,Georgetown, TX,1FTFW1EF5EKF37003,Ford,F-1504WD
29556,2014,73067,Guthrie, OK,1FTFW1EF6EKD44200,Ford,F-1504WD
10910,2009,72822,Port Richey, FL,2FMDK38C29BA43936,Ford,Edge4dr
11998,2012,71842,Fort Lauderdale, FL,1ZVBP8EM9C5223396,Ford,Mustang2dr
31995,2013,71800,Sioux Falls, SD,1FTFW1EF8DKD38848,Ford,F-150SuperCrew
9975,2012,71656,Middlebury, VT,1FAHP3K25CL149916,Ford,Focus5dr
22992,2015,71397,Dothan, AL,1FM5K7D83FGB20167,Ford,ExplorerXLT
13999,2014,71185,Chattanooga, TN,1FMCU0GXXEUD25674,Ford,EscapeSE
8588,2013,70787,Jacksonville, FL,1FADP3F20DL279368,Ford,FocusSedan
18488,2010,70557,Houston, TX,1ZVBP8CH1A5168459,Ford,Mustang2dr
13490,2011,70414,Ansonia, CT,1FMCU9EG5BKC07966,Ford,Escape4WD
12495,2013,70394,Schaumburg, IL,1FMCU0GX4DUB93798,Ford,EscapeSE
18985,2013,70345,Yarmouth, ME,1FM5K8F82DGA35739,Ford,ExplorerLimited
9488,2007,70079,Pasadena, MD,1ZVHT80N175264746,Ford,Mustang2dr
29500,2014,70033,Victor, NY,1FTFW1ET3EFA04260,Ford,F-1504WD
9992,2014,70000,Burlingame, CA,1FADP3F20EL139189,Ford,FocusSedan
11888,2015,69819,Libertyville, IL,1FAHP2E8XFG121617,Ford,TaurusSEL
14995,2013,69808,Alhambra, CA,3FA6P0HR7DR362010,Ford,FusionSE
17000,2014,69341,Marietta, GA,1FM5K7B84EGA47179,Ford,ExplorerBase
11749,2011,69142,Springfield, MO,1FAHP2FW6BG174922,Ford,Taurus4dr
21965,2014,68684,Sheboygan, WI,1FM5K8D8XEGA85700,Ford,ExplorerXLT
13977,2014,68023,Salem, OR,1ZVBP8EM3E5243713,Ford,MustangConvertible
27225,2014,67698,Morehead, KY,1FTFX1ET5EFA53974,Ford,F-1504WD
11895,2012,67506,Aurora, IL,3FAHP0JA1CR355209,Ford,Fusion4dr
8333,2010,67477,St. Petersburg, FL,1FMCU9C72AKC81170,Ford,Escape4WD
14922,2013,67434,Jacksonville, FL,3FA6P0RU1DR337039,Ford,FusionTitanium
11838,2009,67307,Dover, DE,1ZVHT80N295111957,Ford,Mustang2dr
22495,2010,66972,Sacramento, CA,1FTEW1C85AFA70085,Ford,F-1502WD
26995,2014,66834,Pikeville, KY,2FMHK6D86EBD05116,Ford,FlexLimited
47995,2012,66794,Kingston, NY,1FTEX1R60CFA08275,Ford,F-1504WD
17995,2009,66447,Vandalia, OH,1FTRX14879FB48682,Ford,F-1504WD
23995,2009,66364,Blackwood, NJ,1FTPW14V39FB33953,Ford,F-1504WD
26989,2014,66122,Crosby, TX,1FTFW1EF4EFC29796,Ford,F-1504WD
15388,2014,66107,Clarksville, MD,1FAHP2F82EG179332,Ford,TaurusLimited
22250,2012,66000,ORLANDO, FL,1FTFW1CF8CFC56127,Ford,F-1502WD
16950,2014,65878,Garner, NC,1FMCU9J96EUB56560,Ford,EscapeTitanium
14487,2015,65770,Dallas, TX,1FMCU0G96FUA67723,Ford,EscapeFWD
13499,2014,65595,Fort Worth, TX,1FMCU0G91EUB02084,Ford,EscapeSE
22095,2012,65041,Bethlehem, PA,1FTFW1ET2CFA01038,Ford,F-1504WD
